"","STNAME","CTYNAME","YEAR","state_po","totalvotes","county_fips","DEMOCRAT","OTHER","REPUBLICAN","winner","percent_rep","age","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","TOM_MALE","TOM_FEMALE","NH_MALE","NH_FEMALE","H_MALE","H_FEMALE","MINORITY_MALE","MINORITY_FEMALE"
"44","COLORADO","GARFIELD",2016,"CO",26470,8045,11271,2067,13132,"R",0.538130557718313,"total",58839,29967,28872,28193,27208,418,287,511,475,214,326,589,531,21472,20969,8495,7903,1774,1664
"45","COLORADO","GARFIELD",2020,"CO",30904,8045,15427,760,14717,"D",0.488223195329087,"ages 15-34",15531,8154,7377,7487,6851,169,93,165,145,85,102,236,168,5169,4752,2985,2625,667,526
"46","COLORADO","GARFIELD",2020,"CO",30904,8045,15427,760,14717,"D",0.488223195329087,"ages 35-64",23678,12125,11553,11475,10944,166,114,193,187,95,118,172,166,9024,8810,3101,2743,650,609
"47","COLORADO","GARFIELD",2020,"CO",30904,8045,15427,760,14717,"D",0.488223195329087,"ages 65+",8616,4174,4442,4038,4304,23,20,45,35,14,39,51,41,3843,4106,331,336,136,138
"48","COLORADO","GARFIELD",2020,"CO",30904,8045,15427,760,14717,"D",0.488223195329087,"total",60366,30857,29509,28900,27747,476,320,542,505,250,330,637,549,21579,21052,9278,8457,1957,1762
"49","COLORADO","PUEBLO",2016,"CO",78646,8101,35875,6506,36265,"R",0.502703077349598,"ages 15-34",42684,21778,20906,19323,18554,793,601,701,752,239,261,669,692,11055,10474,10723,10432,2455,2352
"50","COLORADO","PUEBLO",2016,"CO",78646,8101,35875,6506,36265,"R",0.502703077349598,"ages 35-64",61820,30141,31679,27517,29159,792,570,947,897,294,409,550,598,18528,19349,11613,12330,2624,2520
"51","COLORADO","PUEBLO",2016,"CO",78646,8101,35875,6506,36265,"R",0.502703077349598,"ages 65+",29236,13246,15990,12561,15261,216,186,232,256,80,111,143,161,9442,11407,3804,4583,685,729
"52","COLORADO","PUEBLO",2016,"CO",78646,8101,35875,6506,36265,"R",0.502703077349598,"total",164883,81192,83691,73114,75962,2285,1827,2684,2628,788,949,2185,2181,46137,47919,35055,35772,8078,7729
"53","COLORADO","PUEBLO",2020,"CO",88301,8101,43772,2277,42252,"D",0.49116525620757,"ages 15-34",43616,22419,21197,19608,18539,884,668,762,778,247,303,866,864,11206,10547,11213,10650,2811,2658
"54","COLORADO","PUEBLO",2020,"CO",88301,8101,43772,2277,42252,"D",0.49116525620757,"ages 35-64",62273,30555,31718,27755,28964,836,621,938,942,348,457,632,672,18436,18837,12119,12881,2800,2754
"55","COLORADO","PUEBLO",2020,"CO",88301,8101,43772,2277,42252,"D",0.49116525620757,"ages 65+",32929,14840,18089,14021,17097,250,234,268,337,101,157,182,247,10448,12734,4392,5355,819,992
"56","COLORADO","PUEBLO",2020,"CO",88301,8101,43772,2277,42252,"D",0.49116525620757,"total",169823,83681,86142,74608,77404,2531,2039,2834,2849,880,1105,2672,2582,47269,48921,36412,37221,9073,8738
"57","DELAWARE","KENT",2016,"DE",74598,10001,33351,4256,36991,"R",0.525873589036422,"ages 15-34",48468,24309,24159,15392,14613,7143,7673,176,166,584,523,970,1144,22237,22214,2072,1945,8917,9546
"58","DELAWARE","KENT",2016,"DE",74598,10001,33351,4256,36991,"R",0.525873589036422,"ages 35-64",64144,30191,33953,21579,23315,7110,8651,242,285,695,1016,533,641,28397,32153,1794,1800,8612,10638
"59","DELAWARE","KENT",2016,"DE",74598,10001,33351,4256,36991,"R",0.525873589036422,"ages 65+",28486,12661,15825,9933,12036,2346,3121,87,122,187,399,105,144,12371,15417,290,408,2728,3789
"60","DELAWARE","KENT",2016,"DE",74598,10001,33351,4256,36991,"R",0.525873589036422,"total",174776,84216,90560,57319,59988,21399,24142,593,701,1766,2263,3038,3358,78176,84546,6040,6014,26897,30572
"61","DELAWARE","KENT",2020,"DE",87025,10001,44552,1464,41009,"D",0.479295473404939,"ages 15-34",49742,24881,24861,15150,14498,7698,8335,146,162,617,535,1234,1296,22547,22580,2334,2281,9731,10363
"62","DELAWARE","KENT",2020,"DE",87025,10001,44552,1464,41009,"D",0.479295473404939,"ages 35-64",66205,31069,35136,21390,23361,7965,9616,251,293,779,1056,647,763,28896,32928,2173,2208,9679,11775
"63","DELAWARE","KENT",2020,"DE",87025,10001,44552,1464,41009,"D",0.479295473404939,"ages 65+",32951,14582,18369,11060,13462,3024,4073,114,140,224,501,152,182,14194,17837,388,532,3522,4907
"64","DELAWARE","KENT",2020,"DE",87025,10001,44552,1464,41009,"D",0.479295473404939,"total",183643,88384,95259,57987,61358,24096,26974,629,706,1965,2399,3600,3710,81375,88153,7009,7106,30397,33901
"65","FLORIDA","DUVAL",2016,"FL",432695,12031,205704,15319,211672,"R",0.50714942881239,"ages 15-34",270897,136087,134810,81847,77245,42233,45455,674,601,6745,6778,4385,4528,120765,120702,15322,14108,54240,57565
"66","FLORIDA","DUVAL",2016,"FL",432695,12031,205704,15319,211672,"R",0.50714942881239,"ages 35-64",355032,170364,184668,113313,114184,45209,56405,884,878,8259,10036,2457,2968,155615,169997,14749,14671,57051,70484
"67","FLORIDA","DUVAL",2016,"FL",432695,12031,205704,15319,211672,"R",0.50714942881239,"ages 65+",123577,52881,70696,39853,51110,10241,15830,200,264,2221,2938,337,511,50486,67442,2395,3254,13028,19586
"68","FLORIDA","DUVAL",2016,"FL",432695,12031,205704,15319,211672,"R",0.50714942881239,"total",927038,449953,477085,281294,286701,131849,150357,2075,2057,21184,23922,12980,13499,406483,434229,43470,42856,168659,190384
"69","FLORIDA","DUVAL",2020,"FL",492820,12031,252556,6502,233762,"D",0.480677252332836,"ages 15-34",275983,138821,137162,81402,76998,44360,47110,667,602,7028,7070,5175,5199,121040,120538,17781,16624,57419,60164
"70","FLORIDA","DUVAL",2020,"FL",492820,12031,252556,6502,233762,"D",0.480677252332836,"ages 35-64",363029,174070,188959,113670,114377,47345,59282,866,895,9085,10854,2812,3348,155038,170336,19032,18623,60400,74582
"71","FLORIDA","DUVAL",2020,"FL",492820,12031,252556,6502,233762,"D",0.480677252332836,"ages 65+",143432,61570,81862,45423,57623,12571,19472,281,338,2809,3742,446,633,58326,77377,3244,4485,16147,24239
"72","FLORIDA","DUVAL",2020,"FL",492820,12031,252556,6502,233762,"D",0.480677252332836,"total",966728,468251,498477,287889,294760,139602,159997,2222,2202,23054,25852,14859,15109,414928,445504,53323,52973,180362,203717
"73","FLORIDA","PINELLAS",2016,"FL",492403,12103,233701,19501,239201,"R",0.505815158320329,"ages 15-34",209255,104358,104897,80606,79940,15736,16348,543,464,4203,4549,3114,3420,90303,91522,14055,13375,23752,24957
"74","FLORIDA","PINELLAS",2016,"FL",492403,12103,233701,19501,239201,"R",0.505815158320329,"ages 35-64",391196,188133,203063,160749,170236,17673,20989,839,847,6455,8265,2219,2496,172120,186094,16013,16969,27384,32827
"75","FLORIDA","PINELLAS",2016,"FL",492403,12103,233701,19501,239201,"R",0.505815158320329,"ages 65+",228731,101708,127023,94181,116928,4776,6664,246,233,1877,2480,576,678,97854,121879,3854,5144,7527,10095
"76","FLORIDA","PINELLAS",2016,"FL",492403,12103,233701,19501,239201,"R",0.505815158320329,"total",960527,461124,499403,383009,412549,50273,55761,1916,1818,15208,17972,10168,10712,416531,453450,44593,45953,78115,86854
"77","FLORIDA","PINELLAS",2020,"FL",559715,12103,277450,6056,276209,"D",0.498879274065806,"ages 15-34",207820,104107,103713,79432,78602,15888,16106,518,437,4307,4441,3790,3992,89154,89306,14953,14407,24675,25111
"78","FLORIDA","PINELLAS",2020,"FL",559715,12103,277450,6056,276209,"D",0.498879274065806,"ages 35-64",389339,187227,202112,158813,167805,18046,21268,855,851,6819,8994,2454,2912,168316,182510,18911,19602,28414,34307
"79","FLORIDA","PINELLAS",2020,"FL",559715,12103,277450,6056,276209,"D",0.498879274065806,"ages 65+",253295,112844,140451,103640,127873,5663,8057,283,325,2458,3315,738,828,107835,133832,5009,6619,9204,12578
"80","FLORIDA","PINELLAS",2020,"FL",559715,12103,277450,6056,276209,"D",0.498879274065806,"total",976802,468464,508338,387015,417757,51346,56878,1963,1916,16250,19239,11303,11939,419046,457240,49418,51098,81449,90581
"81","FLORIDA","SEMINOLE",2016,"FL",224896,12117,105914,9539,109443,"R",0.508193371935902,"ages 15-34",123169,62057,61112,47941,46681,8895,9182,353,317,2936,2890,1848,1943,46772,46179,15285,14933,14116,14431
"82","FLORIDA","SEMINOLE",2016,"FL",224896,12117,105914,9539,109443,"R",0.508193371935902,"ages 35-64",186554,89101,97453,73927,79167,9413,11518,380,419,3906,4768,1374,1469,72322,78383,16779,19070,15174,18286
"83","FLORIDA","SEMINOLE",2016,"FL",224896,12117,105914,9539,109443,"R",0.508193371935902,"ages 65+",67502,29141,38361,25438,33399,2393,3291,90,97,945,1232,259,320,25724,33358,3417,5003,3703,4962
"84","FLORIDA","SEMINOLE",2016,"FL",224896,12117,105914,9539,109443,"R",0.508193371935902,"total",456266,220410,235856,176619,187708,26988,30028,995,986,9797,10871,5744,5962,174857,186917,45553,48939,43791,48148
"85","FLORIDA","SEMINOLE",2020,"FL",260815,12117,132528,3046,125241,"D",0.485865251446062,"ages 15-34",124990,62922,62068,47147,46017,9737,10043,364,358,3328,3293,2264,2286,46367,45687,16555,16381,15775,16051
"86","FLORIDA","SEMINOLE",2020,"FL",260815,12117,132528,3046,125241,"D",0.485865251446062,"ages 35-64",191194,92192,99002,74777,78604,10357,12700,406,457,4844,5366,1694,1743,71591,76590,20601,22412,17415,20398
"87","FLORIDA","SEMINOLE",2020,"FL",260815,12117,132528,3046,125241,"D",0.485865251446062,"ages 65+",77457,33339,44118,28710,37833,2890,4091,119,127,1243,1613,351,421,28870,37668,4469,6450,4629,6285
"88","FLORIDA","SEMINOLE",2020,"FL",260815,12117,132528,3046,125241,"D",0.485865251446062,"total",474171,229394,244777,179691,190785,29570,33238,1123,1136,11819,12455,6901,6860,176768,188823,52626,55954,49703,53992
"89","GEORGIA","BURKE",2016,"GA",9351,13033,4731,129,4491,"D",0.486987638256344,"ages 15-34",5625,2763,2862,1271,1212,1421,1573,8,10,13,15,46,48,2650,2783,113,79,1492,1650
"90","GEORGIA","BURKE",2016,"GA",9351,13033,4731,129,4491,"D",0.486987638256344,"ages 35-64",8767,4124,4643,2316,2361,1724,2210,21,12,19,23,38,33,3975,4533,149,110,1808,2282
"91","GEORGIA","BURKE",2016,"GA",9351,13033,4731,129,4491,"D",0.486987638256344,"ages 65+",3270,1409,1861,937,1065,451,766,8,8,6,8,7,14,1385,1840,24,21,472,796
"92","GEORGIA","BURKE",2016,"GA",9351,13033,4731,129,4491,"D",0.486987638256344,"total",22638,10835,11803,5607,5596,4958,5905,47,36,57,60,152,194,10448,11481,387,322,5228,6207
"93","GEORGIA","BURKE",2020,"GA",10684,13033,5209,75,5400,"R",0.509001790932227,"ages 15-34",5629,2785,2844,1305,1220,1406,1528,10,19,13,17,44,54,2694,2758,91,86,1480,1624
"94","GEORGIA","BURKE",2020,"GA",10684,13033,5209,75,5400,"R",0.509001790932227,"ages 35-64",8466,3981,4485,2268,2316,1620,2074,26,15,23,33,38,43,3803,4355,178,130,1713,2169
"95","GEORGIA","BURKE",2020,"GA",10684,13033,5209,75,5400,"R",0.509001790932227,"ages 65+",3830,1672,2158,1047,1215,589,907,12,9,10,8,12,18,1641,2121,31,37,625,943
"96","GEORGIA","BURKE",2020,"GA",10684,13033,5209,75,5400,"R",0.509001790932227,"total",22648,10770,11878,5611,5768,4837,5753,69,55,69,70,168,219,10355,11506,415,372,5159,6110
"97","IDAHO","TETON",2016,"ID",4976,16081,2159,650,2167,"R",0.500924641701341,"ages 15-34",2719,1461,1258,1425,1207,7,7,8,12,3,9,14,19,1124,1009,337,249,36,51
